"","number","fieldnumber","depth_capture_range_ft","depth_capture_avg_m","depth_avg","weight_g","SL_mm","TL_mm","sex","gonad_weight_g","guts_preserved","whole_fish_preserved","notes","gonad_index","tissues_taken_for.SIA...S...Scale..M...Muscle..H...Heart.","depth_categorical","muscle_ctotal","muscle_ntotal","scale_ctotal","scale_ntotal","heart_ctotal","heart_ntotal","calibration","tp","tissue","c","n"
"57","CUR_LION19020","CURSH19-09","40 - 80 ft",24.384,80,535,252,329,"M","Not Recorded","YES","YES","Could not locate testes in the bag, but given the size of the individual, it was most likely spawning capable","*Spawning capable?","S, M, H","shallow",187.24,59.37,123.31,42.56,186.72,50.24,"single",2.44411764705882,"scale",-14.38,8.84
"58","CUR_LION19021","CURSH19-10","30 - 65 ft",9.144,30,390,230,295,"F","34","YES","YES","entire heart unable to be collected. Entire Bulbous arteriosus collected and part of the atrium/ventricle.","Actively Spawning","S, M, *H","shallow",203.33,38.32,111.9,38.5,186,52.85,"single",2.47941176470588,"muscle",-19.45,9.03
"59","CUR_LION19021","CURSH19-10","30 - 65 ft",9.144,30,390,230,295,"F","34","YES","YES","entire heart unable to be collected. Entire Bulbous arteriosus collected and part of the atrium/ventricle.","Actively Spawning","S, M, *H","shallow",203.33,38.32,111.9,38.5,186,52.85,"single",2.47941176470588,"heart",-16.36,7.73
"60","CUR_LION19021","CURSH19-10","30 - 65 ft",9.144,30,390,230,295,"F","34","YES","YES","entire heart unable to be collected. Entire Bulbous arteriosus collected and part of the atrium/ventricle.","Actively Spawning","S, M, *H","shallow",203.33,38.32,111.9,38.5,186,52.85,"single",2.47941176470588,"scale",-14,8.79
"61","CUR_LION19022","CURSH19-10","30 - 65 ft",13.716,45,178,183,240,"M","Not Recorded","YES","YES","","Immature (virgin)","S, M, H","shallow",189.9,60.26,124.67,41.29,178.74,48.71,"single",2.38823529411765,"muscle",-16.52,8.72
"62","CUR_LION19022","CURSH19-10","30 - 65 ft",13.716,45,178,183,240,"M","Not Recorded","YES","YES","","Immature (virgin)","S, M, H","shallow",189.9,60.26,124.67,41.29,178.74,48.71,"single",2.38823529411765,"heart",-17.17,8.41
"63","CUR_LION19022","CURSH19-10","30 - 65 ft",13.716,45,178,183,240,"M","Not Recorded","YES","YES","","Immature (virgin)","S, M, H","shallow",189.9,60.26,124.67,41.29,178.74,48.71,"single",2.38823529411765,"scale",-14.41,8.59
"64","CUR_LION19023","CURSH19-10","30 - 65 ft",19.812,65,183,180,230,"F","10","YES","YES","","Actively Spawning","S, M, H","shallow",190.17,59.195,113.56,39.07,178.9,47.81,"average",2.49411764705882,"muscle",-16.165,9.08
"65","CUR_LION19023","CURSH19-10","30 - 65 ft",19.812,65,183,180,230,"F","10","YES","YES","","Actively Spawning","S, M, H","shallow",190.17,59.195,113.56,39.07,178.9,47.81,"average",2.49411764705882,"heart",-16.97,8.57
"66","CUR_LION19023","CURSH19-10","30 - 65 ft",19.812,65,183,180,230,"F","10","YES","YES","","Actively Spawning","S, M, H","shallow",190.17,59.195,113.56,39.07,178.9,47.81,"average",2.49411764705882,"scale",-13.92,9.01
"67","CUR_LION19024","CURASUB19-04","224 ft",68.2752,224,116,160,215,"M","Not Recorded","YES","YES","","immature (virgin)","S, M, H","deep",155.18,49.12,123.4,42.39,172.13,45.92,"average",2.53088235294118,"muscle",-17.77,9.205
"68","CUR_LION19024","CURASUB19-04","224 ft",68.2752,224,116,160,215,"M","Not Recorded","YES","YES","","immature (virgin)","S, M, H","deep",155.18,49.12,123.4,42.39,172.13,45.92,"average",2.53088235294118,"heart",-18.05,8.67
"69","CUR_LION19024","CURASUB19-04","224 ft",68.2752,224,116,160,215,"M","Not Recorded","YES","YES","","immature (virgin)","S, M, H","deep",155.18,49.12,123.4,42.39,172.13,45.92,"average",2.53088235294118,"scale",-15.78,9.21
"70","CUR_LION19025","CURASUB19-04","290 ft",88.392,290,714,305,395,"M","Not Recorded","YES","YES","","Spawning capable","S, M, H","deep",185.8,59.23,110.89,37.32,178.4,47.89,"single",2.73235294117647,"muscle",-17.11,9.89
"71","CUR_LION19025","CURASUB19-04","290 ft",88.392,290,714,305,395,"M","Not Recorded","YES","YES","","Spawning capable","S, M, H","deep",185.8,59.23,110.89,37.32,178.4,47.89,"single",2.73235294117647,"heart",-17.77,9.97
"72","CUR_LION19025","CURASUB19-04","290 ft",88.392,290,714,305,395,"M","Not Recorded","YES","YES","","Spawning capable","S, M, H","deep",185.8,59.23,110.89,37.32,178.4,47.89,"single",2.73235294117647,"scale",-14.81,8.62
"73","CUR_LION19026","CURASUB19-04","290 ft",88.392,290,216,205,265,"F","7","YES","YES","","Spawning capable","S, M, H","deep",182.85,57.74,112.62,37.34,187.98,53.82,"single",2.63235294117647,"muscle",-17.39,9.55
"74","CUR_LION19026","CURASUB19-04","290 ft",88.392,290,216,205,265,"F","7","YES","YES","","Spawning capable","S, M, H","deep",182.85,57.74,112.62,37.34,187.98,53.82,"single",2.63235294117647,"heart",-17.28,8.25
"75","CUR_LION19026","CURASUB19-04","290 ft",88.392,290,216,205,265,"F","7","YES","YES","","Spawning capable","S, M, H","deep",182.85,57.74,112.62,37.34,187.98,53.82,"single",2.63235294117647,"scale",-15.02,9.01
"76","CUR_LION19027","CURASUB19-04","290 ft",88.392,290,467,275,375,"M","Not Recorded","YES","YES","Gonads not in bag","?","S, M, H","deep",179.27,58.4,109.42,38.12,184.48,48.64,"average",2.63235294117647,"muscle",-17.595,9.55
"77","CUR_LION19027","CURASUB19-04","290 ft",88.392,290,467,275,375,"M","Not Recorded","YES","YES","Gonads not in bag","?","S, M, H","deep",179.27,58.4,109.42,38.12,184.48,48.64,"average",2.63235294117647,"heart",-17.91,9.72
"78","CUR_LION19027","CURASUB19-04","290 ft",88.392,290,467,275,375,"M","Not Recorded","YES","YES","Gonads not in bag","?","S, M, H","deep",179.27,58.4,109.42,38.12,184.48,48.64,"average",2.63235294117647,"scale",-14.65,8.48
"79","CUR_LION19028","CURASUB19-04","350 ft",106.68,350,670,300,390,"M","Not Recorded","YES","YES","","Spawning capable","S, M, H","deep",187.34,53.01,116.22,40.1,186.36,49.09,"average",2.97058823529412,"muscle",-17.77,10.7
"80","CUR_LION19028","CURASUB19-04","350 ft",106.68,350,670,300,390,"M","Not Recorded","YES","YES","","Spawning capable","S, M, H","deep",187.34,53.01,116.22,40.1,186.36,49.09,"average",2.97058823529412,"heart",-17.42,9.88
"81","CUR_LION19028","CURASUB19-04","350 ft",106.68,350,670,300,390,"M","Not Recorded","YES","YES","","Spawning capable","S, M, H","deep",187.34,53.01,116.22,40.1,186.36,49.09,"average",2.97058823529412,"scale",-14.07,9.46
"82","CUR_LION19029","CURASUB19-04","390 ft",118.872,390,664,305,405,"M","Not Recorded","YES","YES","","Spawning Capable","S, M, H","deep",172.55,53.81,105.59,36.8,176.235,45.94,"average",2.95882352941176,"muscle",-17.69,10.66
"83","CUR_LION19029","CURASUB19-04","390 ft",118.872,390,664,305,405,"M","Not Recorded","YES","YES","","Spawning Capable","S, M, H","deep",172.55,53.81,105.59,36.8,176.235,45.94,"average",2.95882352941176,"heart",-17.665,10.465
"84","CUR_LION19029","CURASUB19-04","390 ft",118.872,390,664,305,405,"M","Not Recorded","YES","YES","","Spawning Capable","S, M, H","deep",172.55,53.81,105.59,36.8,176.235,45.94,"average",2.95882352941176,"scale",-14.98,8.73
"85","CUR_LION19030","CURASUB19-04","370 ft",112.776,370,275,212,270,"M","Not Recorded","YES","YES","Gonads not in bag","?","S, M, H","deep",180,56.72,110.31,37.37,185.43,48.32,"average",2.75735294117647,"muscle",-17.035,9.975
"86","CUR_LION19030","CURASUB19-04","370 ft",112.776,370,275,212,270,"M","Not Recorded","YES","YES","Gonads not in bag","?","S, M, H","deep",180,56.72,110.31,37.37,185.43,48.32,"average",2.75735294117647,"heart",-17.97,10.24
"87","CUR_LION19030","CURASUB19-04","370 ft",112.776,370,275,212,270,"M","Not Recorded","YES","YES","Gonads not in bag","?","S, M, H","deep",180,56.72,110.31,37.37,185.43,48.32,"average",2.75735294117647,"scale",-14.82,9.53
"88","CUR_LION19031","CURASUB19-04","390 ft",118.872,390,248,204,268,"F","9","YES","YES","","Spawning Capable","S, M, H","deep",185.04,54.75,106.6,36.23,185.79,47.96,"single",2.75,"muscle",-16.96,9.95
"89","CUR_LION19031","CURASUB19-04","390 ft",118.872,390,248,204,268,"F","9","YES","YES","","Spawning Capable","S, M, H","deep",185.04,54.75,106.6,36.23,185.79,47.96,"single",2.75,"heart",-17.9,9.93
"90","CUR_LION19031","CURASUB19-04","390 ft",118.872,390,248,204,268,"F","9","YES","YES","","Spawning Capable","S, M, H","deep",185.04,54.75,106.6,36.23,185.79,47.96,"single",2.75,"scale",-14.42,9.06
"91","CUR_LION19032","CURASUB19-05","340 ft",103.632,340,320,218,290,"F","32","YES","YES","","Actively Spawning","S, M, H","deep",174.835,56.105,115.62,39.09,192.31,48.7,"average",2.84852941176471,"muscle",-17.185,10.285
"92","CUR_LION19032","CURASUB19-05","340 ft",103.632,340,320,218,290,"F","32","YES","YES","","Actively Spawning","S, M, H","deep",174.835,56.105,115.62,39.09,192.31,48.7,"average",2.84852941176471,"heart",-18.06,10.61
"93","CUR_LION19032","CURASUB19-05","340 ft",103.632,340,320,218,290,"F","32","YES","YES","","Actively Spawning","S, M, H","deep",174.835,56.105,115.62,39.09,192.31,48.7,"average",2.84852941176471,"scale",-14.61,9.45
"94","CUR_LION19033","CURASUB19-05","330 ft",100.584,330,700,300,410,"M","<1","YES","YES","","Spawning capable","S, M, H","deep",184.05,58.95,113.03,38.25,175.2,44.87,"single",2.75588235294118,"muscle",-17.47,9.97
"95","CUR_LION19033","CURASUB19-05","330 ft",100.584,330,700,300,410,"M","<1","YES","YES","","Spawning capable","S, M, H","deep",184.05,58.95,113.03,38.25,175.2,44.87,"single",2.75588235294118,"heart",-18.06,9.67
