,number,fieldnumber,depth_capture_range_ft,depth_capture_avg_m,depth_avg,weight_g,SL_mm,TL_mm,sex,gonad_weight_g,guts_preserved,whole_fish_preserved,notes,gonad_index,tissues_taken_for.SIA...S...Scale..M...Muscle..H...Heart.,depth_categorical,muscle_ctotal,muscle_ntotal,scale_ctotal,scale_ntotal,heart_ctotal,heart_ntotal,calibration,tp,tissue,c,n,tissuedepth
128,CUR_LION19044,CURASUB19-06,423,128.9304,423,366,265,330,F,6,YES,YES,,Spawning Capable,"S, M, H",deep,186.74,57.35,122.9,41.87,178.56,49.67,single,3.097058824,heart,-17.14,10.67,heart_deep
131,CUR_LION19045,CURASUB19-06,443,135.0264,443,376,240,310,M,<1,YES,YES,,Spawning capable,"S, M, H",deep,189.7,53.81,114.115,39.065,178.11,44.46,average,2.879411765,heart,-18.5,10.14,heart_deep
152,CUR_LION19052,CURASUB19-07,314,95.7072,314,640,312,415,M,<1,YES,YES,"very thin, check age.  Little muscle mass, testes were very small, dark brown",Spawning capable,"S,M,H",deep,189.81,61.67,110.95,39.08,178.025,47.625,average,2.823529412,heart,-16.785,11.07,heart_deep
155,CUR_LION19053,CURASUB19-07,415,126.492,415,361,245,320,F,5,YES,YES,,Actively Spawning,"S, M, H",deep,181.17,57.145,111.34,38.61,182.44,51.255,average,2.941176471,heart,-17.45,10.185,heart_deep
158,CUR_LION19054,CURASUB19-07,361,110.0328,361,334,220,300,F,4,YES,YES,,Developing,"S, M, H",deep,183.93,56.77,116.5,39.52,175.09,45.19,single,3.017647059,heart,-17.61,11.18,heart_deep
161,CUR_LION19055,CURASUB19-07,387,117.9576,387,339,235,310,F,31,YES,YES,,Actively Spawning,"S, M, H",deep,182.22,57.975,110.04,38.08,180.58,45.34,average,2.757352941,heart,-18.55,10.31,heart_deep
164,CUR_LION19056,CURASUB19-07,415,126.492,415,396,235,330,F,8,YES,YES,,Spawning Capable,"S, M, H",deep,180.99,56.42,109.6,38.15,180.8,48.74,single,3.197058824,heart,-16.95,10.35,heart_deep
167,CUR_LION19057,CURASUB19-07,305,92.964,305,183,195,250,F,1,YES,YES,,developing,"S, M, H",deep,195.02,58.26,121.72,41.59,188.3,48.43,single,2.591176471,heart,-18.07,9.41,heart_deep
170,CUR_LION19058,CURASUB19-07,365,111.252,365,374,240,315,F,10,YES,YES,,Spawning Capable,"S, M, H",deep,191.46,59.815,107.12,36.91,206,26.98,average,2.870588235,heart,-20.81,8.37,heart_deep
173,CUR_LION19059,CURASUB19-07,360,109.728,360,676,295,385,M,<1,YES,YES,"*no heart INITIALLY found -- coagulated blood taken from heart region instead. rethawed on 0827 and found heart. stored in separate vials, next to each other in the box. ",Spawning capable,"S, M, H*",deep,184.11,57.78,109.5,38.49,184.88,49.36,single,2.738235294,heart,-17.92,9.22,heart_deep
